Product_Category4_id,Category1,CATEGORY1,Category2,CategorY3,Category4,CAtegory3,Category3,CaTegory1,CategOry2,CATEgory3,category3
3339,,,,,,,1,,,,
3342,,,,,,,1,,,,
3378,1,,,,,,,,,,
3381,,,,,,,,1,,,
3384,,1,,,,,,,,,
3387,1,,,,,,,,,,
3399,,1,,,,,,,,,
3402,,1,,,,,,,,,
3411,,,,,,,,1,,,
3414,,1,,,,,,,,,
3417,1,,,,,,,,,,
3459,,,,,,,1,,,,
3462,,,,1,,,,,,,
3477,,,,,,,1,,,,
3480,,,,,,,1,,,,
3483,,,,,,,1,,,,
3522,,,,,,,1,,,,
3525,,,,,,,1,,,,
3549,,,,,,,,1,,,
3552,,,,,,,,,1,,
3555,,,,,,,,,,1,
3558,,,,,,,,,,,1
3561,,,,,,,,,,1,
3564,,,,,,,,,1,,
3567,,,,,,,,1,,,
3576,,,,,,,1,,,,
3582,,,,,,,1,,,,
3585,,,,,,1,,,,,
3588,,,,,,,1,,,,
3591,,,,,,,1,,,,
3597,,,,,,,,,,,1
3615,,,,,,,1,,,,
3636,,,,,1,,,,,,
3639,,,,1,,,,,,,
3642,,,1,,,,,,,,
3666,,,,,,,1,,,,
3669,,,,1,,,,,,,
3672,,,,,,,1,,,,
3675,,,,,,,,,,1,
3678,,,,,,,1,,,,
3681,,,,,,,1,,,,
3687,,,,,,,1,,,,
3696,,,,,,,1,,,,
3699,,,,,,,1,,,,
3702,,,,,,,1,,,,
3705,,,,,,,1,,,,
3711,,,,,,,1,,,,
3714,,,,,,,1,,,,
3717,,,,,,,1,,,,
3726,,,,,,,1,,,,
3729,,,,,,,1,,,,
3732,,,,1,,,,,,,
3735,,,,,,,1,,,,
3738,,,,,,,1,,,,
3741,,,,,,,1,,,,
3744,,,,,,,,,,,1
3747,,,,,,,1,,,,
3750,,,,,,,1,,,,
3753,,,,,,,1,,,,
3756,,,,,,,1,,,,
3759,,,,,,,1,,,,
3762,,,,,,,1,,,,
3765,,,,,,,1,,,,
3771,,,,,,,1,,,,
3774,,,,,,,1,,,,
3777,,,,,,,1,,,,
3780,,,,,,,1,,,,
3783,,,,,,,1,,,,
3786,,,,,,,1,,,,
3789,,,,,,,,,,,1
3792,,,,,,,1,,,,
3801,,,,,,,1,,,,
3804,,,,1,,,,,,,
3807,,,,,,,1,,,,
3810,,,,,,,1,,,,
3816,,1,,,,,,,,,
3819,,,,,,,1,,,,
3822,,,,,,,1,,,,
3828,,,,,,,1,,,,
3834,,1,,,,,,,,,
3861,,1,,,,,,,,,
3960,,,1,,,,,,,,
3972,,,,,,,1,,,,
3975,,,,,,,,,,,1
3978,,,,,,,1,,,,
3984,,,,,,,1,,,,
4041,1,,,,,,,,,,
4146,,,,,,,1,,,,
4149,,,,1,,,,,,,
4152,,,,,,,1,,,,
4323,,,,,,,1,,,,
4326,,,,1,,,,,,,
4626,,,1,,,,,,,,
4629,,,1,,,,,,,,
4632,,,1,,,,,,,,
4638,,,1,,,,,,,,
4641,,,1,,,,,,,,
4644,,,1,,,,,,,,
4647,,,1,,,,,,,,
4650,,,1,,,,,,,,
4653,,,1,,,,,,,,
4659,,,1,,,,,,,,
4662,,,1,,,,,,,,
4665,,,1,,,,,,,,
4668,,,1,,,,,,,,
4671,,,1,,,,,,,,
5226,,,,,,,,1,,,
5229,,1,,,,,,,,,
5232,,1,,,,,,,,,
5235,,1,,,,,,,,,
5238,,,,,,,,1,,,
5241,,1,,,,,,,,,
5826,,,1,,,,,,,,
5844,,,1,,,,,,,,
5847,,,1,,,,,,,,
5850,,,1,,,,,,,,
5853,,,1,,,,,,,,
5856,,,1,,,,,,,,
5859,,,1,,,,,,,,
5862,,,1,,,,,,,,
5865,,,1,,,,,,,,
5868,,,1,,,,,,,,
5871,,,1,,,,,,,,
5874,,,1,,,,,,,,
5877,,,1,,,,,,,,
5880,,,1,,,,,,,,
5883,,,1,,,,,,,,
5886,,,1,,,,,,,,
5889,,,1,,,,,,,,
5892,,,1,,,,,,,,
5895,,,1,,,,,,,,
5898,,,1,,,,,,,,
5901,,,1,,,,,,,,
5904,,,1,,,,,,,,
5907,,,1,,,,,,,,
5910,,,1,,,,,,,,
5913,,,1,,,,,,,,
5916,,,1,,,,,,,,
5919,,,1,,,,,,,,
5922,,,1,,,,,,,,
5925,,,1,,,,,,,,
5928,,,1,,,,,,,,
5931,,,1,,,,,,,,
5934,,,1,,,,,,,,
5937,,,1,,,,,,,,
5940,,,1,,,,,,,,
5943,,,1,,,,,,,,
5946,,,1,,,,,,,,
5949,,,1,,,,,,,,
5952,,,1,,,,,,,,
5955,,,1,,,,,,,,
5958,,,1,,,,,,,,
5961,,,1,,,,,,,,
5964,,,1,,,,,,,,
5967,,,1,,,,,,,,
5970,,,1,,,,,,,,
5973,,,1,,,,,,,,
5979,,,1,,,,,,,,
5982,,,1,,,,,,,,
5985,,,1,,,,,,,,
5988,,,1,,,,,,,,
5991,,,1,,,,,,,,
5994,,,1,,,,,,,,
5997,,,1,,,,,,,,
6000,,,1,,,,,,,,
6003,,,1,,,,,,,,
6006,,,1,,,,,,,,
6009,,,1,,,,,,,,
6012,,,1,,,,,,,,
6015,,,1,,,,,,,,
6018,,,1,,,,,,,,
6021,,,1,,,,,,,,
6024,,,1,,,,,,,,
6027,,,1,,,,,,,,
6033,,,1,,,,,,,,
6036,,,1,,,,,,,,
6039,,,1,,,,,,,,
6042,,,1,,,,,,,,
6045,,,1,,,,,,,,
6051,,,1,,,,,,,,
6054,,,1,,,,,,,,
6057,,,1,,,,,,,,
6060,,,1,,,,,,,,
6063,,,1,,,,,,,,
6066,,,1,,,,,,,,
6069,,,1,,,,,,,,
6072,,,1,,,,,,,,
6075,,,1,,,,,,,,
6078,,,1,,,,,,,,
6081,,,1,,,,,,,,
6084,,,1,,,,,,,,
6087,,,1,,,,,,,,
6090,,,1,,,,,,,,
6093,,,1,,,,,,,,
6096,,,1,,,,,,,,
6099,,,1,,,,,,,,
6102,,,1,,,,,,,,
6105,,,1,,,,,,,,
6108,,,1,,,,,,,,
6111,,,1,,,,,,,,
6114,,,1,,,,,,,,
6117,,,1,,,,,,,,
7923,,1,,,,,,,,,
13023,,1,,,,,,,,,
15126,,,,,,,1,,,,
15171,,,,,,,1,,,,
15180,,,,,,,1,,,,
